Date,Title,Speakers,Slides,Recording
2023-09-11,Gno.land: The Key To Perpetual Transparency,@moul,[Slides](https://gnolang.github.io/workshops/presentations/2023-09-11--dappcon-key-perpetual-transparency--manfred/presentation.slide.html),---
2023-07-24,Examining the Gno Core Stack,@moul,[Slides](https://gnolang.github.io/workshops/presentations/2023-07-24--talk-nebular--manfred/presentations.slide.html#1),---
2023-07-23,Getting Started with Gno!,"@moul, @thehowl",[Slides](./README.md),---
2023-06-26,Go -> Gno,@schollz,[Slides](./slides.pdf),---
2023-06-06,Proof of Contribution in Gno.land,@moul,[Slides](https://gnolang.github.io/workshops/presentations/2023-06-06--buidl-asia--manfred/presentations.slide.html),---
2023-06-05,Gno.land for Go Developers,@moul,[Slides](https://gnolang.github.io/workshops/presentations/2023-06-05--getting-to-gno-seoul--manfred/presentations.slide.html#1),---
2023-06-03,A journey into Gno.land - the Evolution of Smart Contracts,@moul,[Slides](https://gnolang.github.io/workshops/presentations/2023-06-03--eth-seoul--manfred/presentations.slide.html#1),---
2023-06-02,Alice in Gno.land,@zivkovicmilos,[Slides](./README.md),---
2023-03-16,How to build a forum in Gno.land,@zivkovicmilos,[Slides](./README.md),[Recording](https://www.youtube.com/watch?v=gmP-mH-64HA)
2023-03-03,Plan9 as Metaverse,@jaekwon,[Slides](./README.md),---
2022-11-29,Minimal meetup.com clone,"@moul, @pwnh4",[Slides](https://github.com/xplrz/gnoland-meetup),---
2022-11-15,Intro to gno.land,@moul,---,---
2022-11-03,Intro to gno.land,@moul,---,---
2022-10-18,Gnoland & Concurrent Smart Contracts,@moul,---,[Recording](https://www.youtube.com/watch?v=gcZHjlqG8gg&list=PLUg1PF7xcA8WHJ6aXXPi4CckVd7WEukF6&index=8)
2022-09-29,Intro to Gno,"@moul, @pwnh4",[Slides](https://github.com/xplrz/gnoland-workshop),---
